"passportArea","weight","firstName","middleName","lastName","currentTeamId","birthDate","height","role","birthArea","wyId","foot","shortName","currentNationalTeamId","birthYear","birthMonth"
"Lithuania",92,"Edvinas",NA,"Gertmonas",3774,"1996-06-01",192,"Goalkeeper","Lithuania",240507,"right","E. Gertmonas",13503,1996,6
"Croatia",74,"Hrvoje",NA,"Mili\u0107",NA,"1989-05-10",183,"Defender","Croatia",69874,"left","H. Mili\u0107",NA,1989,5
"Germany",70,"Jonathan",NA,"Klinsmann",2457,"1997-04-08",194,"Goalkeeper","United States",492782,"right","J. Klinsmann",8140,1997,4
"Italy",80,"Francesco",NA,"Vicari",3204,"1994-08-03",190,"Defender","Italy",263432,"right","F. Vicari",NA,1994,8
"Italy",70,"Alex",NA,"Ferrari",3194,"1994-07-01",183,"Defender","Italy",263433,"right","A. Ferrari",NA,1994,7
"Croatia",88,"Emil",NA,"Berggreen",2460,"1993-05-10",194,"Forward","Denmark",230687,"right","E. Berggreen",NA,1993,5
"Poland",88,"Igor",NA,"Lewczuk",3772,"1985-05-30",189,"Defender","Poland",99633,"right","I. Lewczuk",NA,1985,5
"Mali",76,"Cheick",NA,"Keita",3166,"1996-04-16",182,"Defender","France",361779,"left","C. Keita",19001,1996,4
"Spain",69,"Carlos",NA,"Calder\u00f3n L\u00f3pez",698,"1995-04-14",182,"Midfielder","Spain",329026,"right","Carlos Calder\u00f3n",NA,1995,4
"Poland",80,"Thiago",NA,"Rangel Cionek",3204,"1986-04-21",183,"Defender","Brazil",99661,"right","T. Cionek",13869,1986,4
"Uruguay",73,"Rodrigo",NA,"Bentancur Colm\u00e1n",3159,"1997-06-25",185,"Midfielder","Uruguay",361807,"right","R. Bentancur",15670,1997,6
"Brazil",76,"Bernardo",NA,"Fernandes da Silva Junior",2975,"1995-05-14",186,"Defender","Brazil",296341,"left","Bernardo",NA,1995,5
"Poland",81,"Rafa\u0142",NA,"Gikiewicz",2453,"1987-10-26",190,"Goalkeeper","Poland",99749,"right","R. Gikiewicz",NA,1987,10
"Italy",85,"Alessandro",NA,"Deiola",3173,"1995-08-01",190,"Midfielder","Italy",263591,"right","A. Deiola",NA,1995,8
"Afghanistan",73,"Nadiem",NA,"Amiri",2482,"1996-10-27",180,"Midfielder","Germany",263614,"right","N. Amiri",3155,1996,10
"Spain",78,"Yeray",NA,"\u00c1lvarez L\u00f3pez",678,"1995-01-24",183,"Defender","Spain",230857,"right","Yeray",NA,1995,1
"Spain",73,"\u00cd\u00f1igo",NA,"Lekue Mart\u00ednez",678,"1993-05-04",180,"Defender","Spain",230862,"right","Lekue",NA,1993,5
"Egypt",84,"Ali",NA,"Gabr",27533,"1989-01-10",193,"Defender","Egypt",198120,"right","Ali Gabr",16129,1989,1
"Spain",70,"Pere",NA,"Pons Riera",756,"1993-02-20",177,"Midfielder","Spain",230895,"right","Pere Pons",NA,1993,2
"Italy",65,"Federico Nicol\u00e1s",NA,"Cartabia",677,"1993-01-20",169,"Midfielder","Argentina",230897,"left","Fede Cartabia",NA,1993,1
"Poland",77,"Bartosz",NA,"Bereszy\u0144ski",3164,"1992-07-12",183,"Defender","Poland",99833,"right","B. Bereszy\u0144ski",13869,1992,7
"Iceland",81,"\u00d3lafur Ingi",NA,"Sk\u00falason",7727,"1983-04-01",183,"Midfielder","Iceland",38241,"right","\u00d3. Sk\u00falason",7839,1983,4
"Germany",79,"Dominik",NA,"Kohr",2446,"1994-01-31",183,"Midfielder","Germany",165425,"right","D. Kohr",NA,1994,1
"Poland",75,"Piotr",NA,"Zieli\u0144ski",3187,"1994-05-20",180,"Midfielder","Poland",99902,"right","P. Zieli\u0144ski",13869,1994,5
"Brazil",77,"Jemerson",NA,"de Jesus Nascimento",19830,"1992-08-24",184,"Defender","Brazil",263766,"right","Jemerson",NA,1992,8
"Congo DR",72,"Youri",NA,"Tielemans",19830,"1997-05-07",176,"Midfielder","Belgium",263802,"right","Y. Tielemans",5629,1997,5
"Belgium",80,"Timothy",NA,"Castagne",3172,"1995-12-05",185,"Defender","Belgium",263803,"right","T. Castagne",NA,1995,12
"Ghana",71,"Kenny",NA,"Tete",3766,"1995-10-09",180,"Defender","Netherlands",1712,"right","K. Tete",664,1995,10
"Denmark",71,"Viktor",NA,"Fischer",7452,"1994-06-09",180,"Forward","Denmark",1722,"right","V. Fischer",7712,1994,6
"Cura\\u00e7ao",74,"Riechedly",NA,"Bazoer",2451,"1996-10-12",184,"Midfielder","Netherlands",1729,"right","R. Bazoer",670,1996,10
"Morocco",80,"Oussama",NA,"Tannane",3782,"1994-03-23",177,"Forward","Netherlands",1751,"left","O. Tannane",NA,1994,3
"Congo DR",67,"Presnel",NA,"Kimpembe",3767,"1995-08-13",183,"Defender","France",231138,"left","P. Kimpembe",4418,1995,8
"France",71,"Kingsley",NA,"Coman",2444,"1996-06-13",178,"Forward","France",231139,"right","K. Coman",NA,1996,6
"Brazil",73,"Gabriel",NA,"Barbosa Almeida",5655,"1996-08-30",178,"Forward","Brazil",263948,"left","Gabigol",NA,1996,8
"Mauritania",71,"Mamadou",NA,"Sissako",3795,"1996-04-20",171,"Forward","France",231184,"right","M. Sissako",NA,1996,4
"Turkey",71,"\u015eener",NA,"\u00d6zbayrakl\u0131",4487,"1990-01-23",171,"Defender","Turkey",34592,"right","\u015e. \u00d6zbayrakl\u0131",NA,1990,1
"Russia",86,"Andrey",NA,"Semenov",13898,"1989-03-24",190,"Defender","Russia",102629,"right","A. Semenov",14358,1989,3
"France",71,"Yoel",NA,"Armougom",3783,"1998-06-05",173,"Defender","Reunion",493412,"left","Y. Armougom",NA,1998,6
"Ivoire""",70,"K\u00e9vin Lucien",NA,"Zohi",3779,"1996-12-19",177,"Forward","Ivoire""",493415,"right","K. Zohi",NA,1996,12
"Spain",79,"Igor",NA,"Zubeld\u00eda Elorza",687,"1997-03-30",180,"Midfielder","Spain",395114,"right","Zubeld\u00eda",1604,1997,3
"New Caledonia",74,"George",NA,"Gope-Fenepej",3789,"1988-10-23",182,"Forward","New Caledonia",132972,"right","G. Gope-Fenepej",NA,1988,10
"Italy",80,"Pierluigi",NA,"Gollini",3172,"1995-03-18",188,"Goalkeeper","Italy",264084,"right","P. Gollini",NA,1995,3
"Spain",78,"Ezequiel",NA,"Ponce Mart\u00ednez",3776,"1997-03-29",178,"Forward","Argentina",284322,"right","E. Ponce",12281,1997,3
"Italy",70,"Enrico",NA,"Bearzotti",3194,"1996-10-20",180,"Midfielder","Italy",388099,"right","E. Bearzotti",NA,1996,10
"Italy",90,"Emiliano",NA,"Viviano",3164,"1985-12-01",195,"Goalkeeper","Italy",20802,"left","E. Viviano",NA,1985,12
"Uruguay",87,"Maximiliano",NA,"G\u00f3mez Gonz\u00e1lez",692,"1996-08-14",186,"Forward","Uruguay",395636,"right","Maxi G\u00f3mez",15670,1996,8
"Mauritania",79,"Moctar El Hacen",NA,"El Id",695,"1997-12-31",181,"Midfielder","Mauritania",264778,"right","M. El Id",NA,1997,12
"Albania",78,"Thomas",NA,"Strakosha",3162,"1995-03-19",186,"Goalkeeper","Greece",166534,"right","T. Strakosha",NA,1995,3
"France",78,"Marcus",NA,"Coco",3785,"1996-06-24",184,"Midfielder","Guadeloupe",330387,"right","M. Coco",NA,1996,6
"Finland",83,"Joel",NA,"Pohjanpalo",2446,"1994-09-13",185,"Forward","Finland",35477,"right","J. Pohjanpalo",4849,1994,9
"Peru",67,"Miguel \u00c1ngel",NA,"Trauco Saavedra",5654,"1992-08-25",175,"Defender","Peru",115146,"left","M. Trauco",15594,1992,8
"France",72,"Vincent",NA,"Laurini",3176,"1989-06-10",173,"Defender","France",22313,"right","V. Laurini",NA,1989,6
"Congo DR",67,"Firmin Ndombe",NA,"Mubele",3780,"1994-04-17",170,"Forward","Congo DR",264989,"right","F. Mubele",18538,1994,4
"Czech Republic",86,"Anton\u00edn",NA,"Bar\u00e1k",3163,"1994-12-03",190,"Midfielder","Czech Republic",265172,"left","A. Bar\u00e1k",11555,1994,12
"Nigeria",85,"Manuel",NA,"Akanji",2447,"1995-07-19",187,"Defender","Switzerland",297957,"right","M. Akanji",6697,1995,7
"Spain",67,"Samuel ",NA,"Castillejo Azuaga",682,"1995-01-18",182,"Midfielder","Spain",134174,"left","Samu Castillejo",NA,1995,1
"Serbia",82,"Filip",NA,"Manojlovi\u0107",698,"1996-04-25",197,"Goalkeeper","Serbia",363560,"right","F. Manojlovi\u0107",32344,1996,4
"Spain",73,"Rub\u00e9n",NA,"Sobrino Pozuelo",696,"1992-02-16",185,"Forward","Spain",134249,"right","Rub\u00e9n Sobrino",NA,1992,2
"Russia",87,"Vasili",NA,"Berezutski",NA,"1982-06-20",189,"Defender","Russia",101581,"right","V. Berezutski",NA,1982,6
"Paraguay",65,"Julio C\u00e9sar",NA,"Villalba Gaona",2454,"1998-09-11",174,"Forward","Paraguay",363648,"right","J. Villalba",15519,1998,9
"Nigeria",80,"Onyinye Wilfred",NA,"Ndidi",1631,"1996-12-16",187,"Midfielder","Nigeria",265366,"right","W. Ndidi",16823,1996,12
"Nigeria",72,"Abdullahi",NA,"Shehu",4502,"1993-03-12",181,"Defender","Nigeria",265368,"right","A. Shehu",16823,1993,3
"Slovakia",70,"Tom\u00e1\u0161",NA,"Hubo\u010dan",4488,"1985-09-17",184,"Defender","Slovakia",101555,"right","T. Hubo\u010dan",14496,1985,9
"Brazil",83,"Bruno Eduardo",NA,"Regufe Alves",3160,"1981-11-27",187,"Defender","Portugal",101558,"right","Bruno Alves",9905,1981,11
"Morocco",68,"Achraf",NA,"Hakimi Mouh",2447,"1998-11-04",179,"Defender","Spain",396475,"right","A. Hakimi",16216,1998,11
"Spain",72,"Eloi",NA,"Amagat Arimany",756,"1985-05-21",180,"Midfielder","Spain",167104,"right","Eloi Amagat",NA,1985,5
"Spain",81,"Vicente",NA,"Guaita Panadero",698,"1987-01-10",190,"Goalkeeper","Spain",3267,"right","Guaita",NA,1987,1
"Spain",68,"Jordi",NA,"Alba Ramos",676,"1989-03-21",170,"Defender","Spain",3269,"left","Jordi Alba",1598,1989,3
"Spain",76,"Antonio",NA,"Barrag\u00e1n Fern\u00e1ndez",684,"1987-06-12",183,"Defender","Spain",3270,"right","Barrag\u00e1n",NA,1987,6
"Russia",82,"Igor",NA,"Akinfeev",13886,"1986-04-08",186,"Goalkeeper","Russia",101576,"right","I. Akinfeev",14358,1986,4
"Morocco",90,"Adil",NA,"Rami",3771,"1985-12-27",190,"Defender","France",3276,"right","A. Rami",4418,1985,12
"Spain",78,"V\u00edctor",NA,"Ru\u00edz Torre",682,"1989-01-25",185,"Defender","Spain",3277,"left","V\u00edctor Ru\u00edz",NA,1989,1
"Spain",75,"Sabin",NA,"Merino Zuloaga",678,"1992-01-04",187,"Forward","Spain",167119,"right","Sabin Merino",NA,1992,1
"Spain",71,"\u00c9ver Maximiliano David",NA,"Banega",680,"1988-06-29",174,"Midfielder","Argentina",3280,"right","\u00c9. Banega",12274,1988,6
"Spain",67,"Juan",NA,"Bernat Velasco",2444,"1993-03-01",170,"Defender","Spain",3281,"left","Juan Bernat",NA,1993,3
"Spain",74,"Sergio",NA,"Canales Madrazo",687,"1991-02-16",180,"Midfielder","Spain",3282,"left","Canales",NA,1991,2
"Spain",74,"Daniel",NA,"Parejo Mu\u00f1oz",674,"1989-04-16",182,"Midfielder","Spain",3286,"right","Dani Parejo",NA,1989,4
"Spain",75,"Cristian",NA,"Portugu\u00e9s Manzanera",756,"1992-05-21",178,"Midfielder","Spain",3287,"right","Portu",NA,1992,5
"Japan",76,"Keisuke",NA,"Honda",8311,"1986-06-13",182,"Midfielder","Japan",101592,"left","K. Honda",12913,1986,6
"Turkey",82,"Mehmet",NA,"Topal",4487,"1986-03-03",187,"Midfielder","Turkey",3289,"right","M. Topal",NA,1986,3
"Spain",78,"Aritz",NA,"Aduriz Zubeldia",678,"1981-02-11",182,"Forward","Spain",3290,"right","Aduriz",NA,1981,2
"Spain",71,"Francisco",NA,"Alc\u00e1cer Garc\u00eda",676,"1993-08-30",175,"Forward","Spain",3291,"right","Paco Alc\u00e1cer",NA,1993,8
"Italy",63,"Pablo Daniel",NA,"Piatti",691,"1989-03-31",163,"Forward","Argentina",3293,"left","P. Piatti",NA,1989,3
"Spain",88,"Antonio",NA,"Ad\u00e1n Garrido",684,"1987-05-13",191,"Goalkeeper","Spain",3296,"left","Ad\u00e1n",NA,1987,5
"Spain",81,"Fernando",NA,"Pacheco Flores",696,"1992-05-18",186,"Goalkeeper","Spain",3299,"left","Fernando Pacheco",NA,1992,5
"Brazil",74,"Dalbert Henrique",NA,"Chagas Estev\u00e3o",3161,"1993-09-08",181,"Defender","Brazil",298212,"left","Dalbert",NA,1993,9
"Nigeria",66,"Ahmed",NA,"Musa",16470,"1992-10-14",171,"Forward","Nigeria",101606,"right","A. Musa",16823,1992,10
"Spain",76,"Jos\u00e9 Ignacio",NA,"Fern\u00e1ndez Iglesias",675,"1990-01-18",180,"Defender","Spain",3304,"right","Nacho",1598,1990,1
"Spain",82,"Sergio",NA,"Ramos Garc\u00eda",675,"1986-03-30",184,"Defender","Spain",3306,"right","Sergio Ramos",1598,1986,3
"Portugal",78,"Ricardo Alberto",NA,"Silveira de Carvalho",NA,"1978-05-18",183,"Defender","Portugal",3307,"right","Ricardo Carvalho",NA,1978,5
"Portugal",78,"Pedro Filipe",NA,"Teod\u00f3sio Mendes",3787,"1990-10-01",186,"Defender","Switzerland",3308,"right","Pedro Mendes",NA,1990,10
"Martinique",81,"Rapha\u00ebl",NA,"Varane",675,"1993-04-25",191,"Defender","France",3309,"right","R. Varane",4418,1993,4
"Spain",80,"Marcelo",NA,"Vieira da Silva J\u00fanior",675,"1988-05-12",174,"Defender","Brazil",3310,"left","Marcelo",6380,1988,5
"Germany",97,"Niklas",NA,"S\u00fcle",2444,"1995-09-03",195,"Defender","Germany",134383,"right","N. S\u00fcle",3148,1995,9
"Spain",73,"Jos\u00e9 Mar\u00eda",NA,"Callej\u00f3n Bueno",3187,"1987-02-11",178,"Forward","Spain",3313,"right","Jos\u00e9 Callej\u00f3n",NA,1987,2
"Mali",67,"Lassana",NA,"Diarra",3767,"1985-03-10",173,"Midfielder","France",3315,"right","L. Diarra",NA,1985,3
"Spain",78,"Esteban F\u00e9lix",NA,"Granero Molina",691,"1987-07-02",180,"Midfielder","Spain",3317,"right","Granero",NA,1987,7
"Tunisia",85,"Sami",NA,"Khedira",3159,"1987-04-04",189,"Midfielder","Germany",3318,"right","S. Khedira",3148,1987,4
"Germany",76,"Mesut",NA,"\u00d6zil",1609,"1988-10-15",180,"Midfielder","Germany",3319,"left","M. \u00d6zil",3148,1988,10
"Turkey",73,"Nuri",NA,"\u015eahin",2447,"1988-09-05",180,"Midfielder","Germany",3320,"left","N. \u015eahin",NA,1988,9
"Algeria",81,"Karim",NA,"Benzema",675,"1987-12-19",185,"Forward","France",3321,"right","K. Benzema",NA,1987,12
"Portugal",83,"Cristiano Ronaldo",NA,"dos Santos Aveiro",3159,"1985-02-05",187,"Forward","Portugal",3322,"right","Cristiano Ronaldo",9905,1985,2
"Argentina",82,"Gonzalo Gerardo",NA,"Higua\u00edn",3157,"1987-12-10",184,"Forward","France",3323,"right","G. Higua\u00edn",12274,1987,12
"Spain",69,"Juan Francisco",NA,"Moreno Fuertes",677,"1988-09-11",180,"Defender","Spain",3325,"right","Juanfran",NA,1988,9
